Epoch 2 | Step 126600 | Loss: 3.0051 | Token: 2.8349 | Func: 0.2750
Epoch 2 | Step 126650 | Loss: 3.1221 | Token: 2.8524 | Func: 0.3942
Epoch 2 | Step 126700 | Loss: 3.0184 | Token: 2.8399 | Func: 0.2887
Epoch 2 | Step 126750 | Loss: 2.9689 | Token: 2.7519 | Func: 0.2687
Epoch 2 | Step 126800 | Loss: 3.0122 | Token: 2.8755 | Func: 0.1777
Epoch 2 | Step 126850 | Loss: 2.9645 | Token: 2.7877 | Func: 0.2464
Epoch 2 | Step 126900 | Loss: 2.8859 | Token: 2.7688 | Func: 0.1387
Epoch 2 | Step 126950 | Loss: 3.0168 | Token: 2.7917 | Func: 0.2741
Epoch 2 | Step 127000 | Loss: 3.0959 | Token: 2.8101 | Func: 0.3677
💾 Saved checkpoint: ./checkpoints/checkpoint_step127000.pth
Epoch 2 | Step 127050 | Loss: 2.9859 | Token: 2.8429 | Func: 0.2505
Epoch 2 | Step 127100 | Loss: 2.9719 | Token: 2.7909 | Func: 0.2409
Epoch 2 | Step 127150 | Loss: 2.9829 | Token: 2.7750 | Func: 0.3176
Epoch 2 | Step 127200 | Loss: 2.9807 | Token: 2.7749 | Func: 0.3136
Epoch 2 | Step 127250 | Loss: 2.9953 | Token: 2.8168 | Func: 0.2795
Epoch 2 | Step 127300 | Loss: 2.9856 | Token: 2.8084 | Func: 0.3197
Epoch 2 | Step 127350 | Loss: 2.9585 | Token: 2.7841 | Func: 0.2928
Epoch 2 | Step 127400 | Loss: 2.9602 | Token: 2.7929 | Func: 0.2653
Epoch 2 | Step 127450 | Loss: 3.0497 | Token: 2.8128 | Func: 0.3404
Epoch 2 | Step 127500 | Loss: 3.0248 | Token: 2.8213 | Func: 0.2901
💾 Saved checkpoint: ./checkpoints/checkpoint_step127500.pth
Epoch 2 | Step 127550 | Loss: 2.9633 | Token: 2.8001 | Func: 0.2383
Epoch 2 | Step 127600 | Loss: 3.0591 | Token: 2.8009 | Func: 0.4814
Epoch 2 | Step 127650 | Loss: 3.0475 | Token: 2.8320 | Func: 0.3152
Epoch 2 | Step 127700 | Loss: 3.0483 | Token: 2.7550 | Func: 0.4973
Epoch 2 | Step 127750 | Loss: 2.9676 | Token: 2.8298 | Func: 0.2207
Epoch 2 | Step 127800 | Loss: 2.9434 | Token: 2.8047 | Func: 0.2119
Epoch 2 | Step 127850 | Loss: 2.9778 | Token: 2.8111 | Func: 0.2669
Epoch 2 | Step 127900 | Loss: 3.0585 | Token: 2.8445 | Func: 0.3808
Epoch 2 | Step 127950 | Loss: 2.9601 | Token: 2.7817 | Func: 0.2895
Epoch 2 | Step 128000 | Loss: 3.0438 | Token: 2.8371 | Func: 0.3086
💾 Saved checkpoint: ./checkpoints/checkpoint_step128000.pth
Epoch 2 | Step 128050 | Loss: 3.1117 | Token: 2.8555 | Func: 0.4586
Epoch 2 | Step 128100 | Loss: 2.9608 | Token: 2.8047 | Func: 0.2070
Epoch 2 | Step 128150 | Loss: 3.0188 | Token: 2.7915 | Func: 0.3318
Epoch 2 | Step 128200 | Loss: 3.0626 | Token: 2.8251 | Func: 0.2883
Epoch 2 | Step 128250 | Loss: 2.9882 | Token: 2.8070 | Func: 0.2054
Epoch 2 | Step 128300 | Loss: 3.0133 | Token: 2.8344 | Func: 0.2580
Epoch 2 | Step 128350 | Loss: 3.0001 | Token: 2.8201 | Func: 0.2324
Epoch 2 | Step 128400 | Loss: 3.0257 | Token: 2.8042 | Func: 0.3371
Epoch 2 | Step 128450 | Loss: 3.0079 | Token: 2.8171 | Func: 0.3665
Epoch 2 | Step 128500 | Loss: 2.9225 | Token: 2.7918 | Func: 0.1936
💾 Saved checkpoint: ./checkpoints/checkpoint_step128500.pth
Epoch 2 | Step 128550 | Loss: 2.9256 | Token: 2.7959 | Func: 0.2001
Epoch 2 | Step 128600 | Loss: 2.9594 | Token: 2.8074 | Func: 0.1994
Epoch 2 | Step 128650 | Loss: 2.9984 | Token: 2.8032 | Func: 0.3707
Epoch 2 | Step 128700 | Loss: 2.9837 | Token: 2.7826 | Func: 0.3408
Epoch 2 | Step 128750 | Loss: 3.0333 | Token: 2.8290 | Func: 0.3029
Epoch 2 | Step 128800 | Loss: 2.9786 | Token: 2.8152 | Func: 0.2120
Epoch 2 | Step 128850 | Loss: 3.1168 | Token: 2.8217 | Func: 0.4074
Epoch 2 | Step 128900 | Loss: 2.9974 | Token: 2.7779 | Func: 0.3470
Epoch 2 | Step 128950 | Loss: 2.9956 | Token: 2.7912 | Func: 0.3340
Epoch 2 | Step 129000 | Loss: 3.0850 | Token: 2.8169 | Func: 0.3834
💾 Saved checkpoint: ./checkpoints/checkpoint_step129000.pth
Epoch 2 | Step 129050 | Loss: 2.9972 | Token: 2.8425 | Func: 0.2005
Epoch 2 | Step 129100 | Loss: 2.9505 | Token: 2.7175 | Func: 0.3261
Epoch 2 | Step 129150 | Loss: 2.9452 | Token: 2.7996 | Func: 0.1922
Epoch 2 | Step 129200 | Loss: 2.9096 | Token: 2.7581 | Func: 0.2061
Epoch 2 | Step 129250 | Loss: 3.0048 | Token: 2.8151 | Func: 0.2682
Epoch 2 | Step 129300 | Loss: 2.9690 | Token: 2.7967 | Func: 0.1900
Epoch 2 | Step 129350 | Loss: 2.9617 | Token: 2.7985 | Func: 0.2786
Epoch 2 | Step 129400 | Loss: 3.0008 | Token: 2.8212 | Func: 0.3165
Epoch 2 | Step 129450 | Loss: 3.0334 | Token: 2.8264 | Func: 0.3315
Epoch 2 | Step 129500 | Loss: 2.9640 | Token: 2.7951 | Func: 0.2915
💾 Saved checkpoint: ./checkpoints/checkpoint_step129500.pth
Epoch 2 | Step 129550 | Loss: 3.0119 | Token: 2.8161 | Func: 0.2799
Epoch 2 | Step 129600 | Loss: 2.9510 | Token: 2.7416 | Func: 0.2908
Epoch 2 | Step 129650 | Loss: 2.9279 | Token: 2.8081 | Func: 0.1996
Epoch 2 | Step 129700 | Loss: 2.9742 | Token: 2.7675 | Func: 0.2980
Epoch 2 | Step 129750 | Loss: 3.1081 | Token: 2.8311 | Func: 0.3746
Epoch 2 | Step 129800 | Loss: 3.0913 | Token: 2.7875 | Func: 0.5075
Epoch 2 | Step 129850 | Loss: 3.0917 | Token: 2.8194 | Func: 0.4739
Epoch 2 | Step 129900 | Loss: 2.9909 | Token: 2.8150 | Func: 0.2202
Epoch 2 | Step 129950 | Loss: 3.0664 | Token: 2.8127 | Func: 0.3276
Epoch 2 | Step 130000 | Loss: 3.0433 | Token: 2.8445 | Func: 0.2643
💾 Saved checkpoint: ./checkpoints/checkpoint_step130000.pth
Epoch 2 | Step 130050 | Loss: 3.0299 | Token: 2.8069 | Func: 0.2364
Epoch 2 | Step 130100 | Loss: 2.9061 | Token: 2.7792 | Func: 0.1785
Epoch 2 | Step 130150 | Loss: 3.0009 | Token: 2.7979 | Func: 0.3172
Epoch 2 | Step 130200 | Loss: 2.9044 | Token: 2.7713 | Func: 0.2052
Epoch 2 | Step 130250 | Loss: 2.9750 | Token: 2.8001 | Func: 0.2830
Epoch 2 | Step 130300 | Loss: 2.9580 | Token: 2.8001 | Func: 0.2347
Epoch 2 | Step 130350 | Loss: 3.0758 | Token: 2.8211 | Func: 0.4415
Epoch 2 | Step 130400 | Loss: 2.9756 | Token: 2.8006 | Func: 0.2634
Epoch 2 | Step 130450 | Loss: 2.9759 | Token: 2.8077 | Func: 0.1984
Epoch 2 | Step 130500 | Loss: 3.0553 | Token: 2.8262 | Func: 0.3645
💾 Saved checkpoint: ./checkpoints/checkpoint_step130500.pth
Epoch 2 | Step 130550 | Loss: 3.0284 | Token: 2.8297 | Func: 0.2383
Epoch 2 | Step 130600 | Loss: 2.9697 | Token: 2.7705 | Func: 0.2856
Epoch 2 | Step 130650 | Loss: 3.0503 | Token: 2.8573 | Func: 0.3256
Epoch 2 | Step 130700 | Loss: 3.0341 | Token: 2.7869 | Func: 0.4272
Epoch 2 | Step 130750 | Loss: 3.0900 | Token: 2.8214 | Func: 0.4110
Epoch 2 | Step 130800 | Loss: 3.0957 | Token: 2.8202 | Func: 0.4508
Epoch 2 | Step 130850 | Loss: 2.9524 | Token: 2.7427 | Func: 0.3042
Epoch 2 | Step 130900 | Loss: 3.0285 | Token: 2.7900 | Func: 0.3896
Epoch 2 | Step 130950 | Loss: 3.0365 | Token: 2.8298 | Func: 0.3152
Epoch 2 | Step 131000 | Loss: 3.0167 | Token: 2.8085 | Func: 0.3606
💾 Saved checkpoint: ./checkpoints/checkpoint_step131000.pth
Epoch 2 | Step 131050 | Loss: 3.0514 | Token: 2.8459 | Func: 0.2939
Epoch 2 | Step 131100 | Loss: 3.0170 | Token: 2.8545 | Func: 0.2350
Epoch 2 | Step 131150 | Loss: 3.0529 | Token: 2.8130 | Func: 0.3401
Epoch 2 | Step 131200 | Loss: 3.0388 | Token: 2.8339 | Func: 0.3758
Epoch 2 | Step 131250 | Loss: 3.0529 | Token: 2.8161 | Func: 0.4677
Epoch 2 | Step 131300 | Loss: 2.9719 | Token: 2.8120 | Func: 0.1607
Epoch 2 | Step 131350 | Loss: 3.0167 | Token: 2.8258 | Func: 0.2543
Epoch 2 | Step 131400 | Loss: 3.0524 | Token: 2.7804 | Func: 0.3943
Epoch 2 | Step 131450 | Loss: 3.0294 | Token: 2.8377 | Func: 0.3326
Epoch 2 | Step 131500 | Loss: 2.9735 | Token: 2.8083 | Func: 0.2843
💾 Saved checkpoint: ./checkpoints/checkpoint_step131500.pth
Epoch 2 | Step 131550 | Loss: 3.0905 | Token: 2.7986 | Func: 0.4088
Epoch 2 | Step 131600 | Loss: 2.9678 | Token: 2.7991 | Func: 0.2349
Epoch 2 | Step 131650 | Loss: 3.0325 | Token: 2.8205 | Func: 0.2480
Epoch 2 | Step 131700 | Loss: 3.0410 | Token: 2.8158 | Func: 0.2152
Epoch 2 | Step 131750 | Loss: 3.1261 | Token: 2.8109 | Func: 0.4342
Epoch 2 | Step 131800 | Loss: 3.0292 | Token: 2.8440 | Func: 0.2203
Epoch 2 | Step 131850 | Loss: 3.0474 | Token: 2.7746 | Func: 0.3753
Epoch 2 | Step 131900 | Loss: 2.9496 | Token: 2.8205 | Func: 0.1967
Epoch 2 | Step 131950 | Loss: 3.0599 | Token: 2.8083 | Func: 0.3664
Epoch 2 | Step 132000 | Loss: 3.0264 | Token: 2.7966 | Func: 0.3972
💾 Saved checkpoint: ./checkpoints/checkpoint_step132000.pth
Epoch 2 | Step 132050 | Loss: 3.0589 | Token: 2.8137 | Func: 0.3608
Epoch 2 | Step 132100 | Loss: 3.0698 | Token: 2.8402 | Func: 0.3586
Epoch 2 | Step 132150 | Loss: 3.1303 | Token: 2.8351 | Func: 0.3466
Epoch 2 | Step 132200 | Loss: 3.2141 | Token: 2.8347 | Func: 0.5124
Epoch 2 | Step 132250 | Loss: 3.0964 | Token: 2.8316 | Func: 0.4254
Epoch 2 | Step 132300 | Loss: 3.0786 | Token: 2.8375 | Func: 0.3003
Epoch 2 | Step 132350 | Loss: 3.0789 | Token: 2.7839 | Func: 0.4695
Epoch 2 | Step 132400 | Loss: 2.9858 | Token: 2.8297 | Func: 0.2251
